Date,Total Covid Cases,MURDER & NON-NEGL. MANSLAUGHTER,PETIT LARCENY,FORGERY,ROBBERY,HARRASSMENT 2,DANGEROUS WEAPONS,FELONY ASSAULT,THEFT-FRAUD,CRIMINAL TRESPASS,BURGLARY,SEX CRIMES,ARSON,ASSAULT 3 & RELATED OFFENSES,GRAND LARCENY,DANGEROUS DRUGS,RAPE,MISCELLANEOUS PENAL LAW,VEHICLE AND TRAFFIC LAWS,UNAUTHORIZED USE OF A VEHICLE,ADMINISTRATIVE CODE,CRIMINAL MISCHIEF & RELATED OF,GRAND LARCENY OF MOTOR VEHICLE,THEFT OF SERVICES,OTHER OFFENSES RELATED TO THEF,OFF. AGNST PUB ORD SENSBLTY &,OFFENSES INVOLVING FRAUD,POSSESSION OF STOLEN PROPERTY,OFFENSES AGAINST PUBLIC ADMINI,NYS LAWS-UNCLASSIFIED FELONY,BURGLAR'S TOOLS,FRAUDS,INTOXICATED & IMPAIRED DRIVING,OFFENSES AGAINST THE PERSON,PROSTITUTION & RELATED OFFENSES,OTHER STATE LAWS (NON PENAL LA,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,KIDNAPPING & RELATED OFFENSES,PETIT LARCENY OF MOTOR VEHICLE,OFFENSES AGAINST PUBLIC SAFETY,FORTUNE TELLING,GAMBLING,ANTICIPATORY OFFENSES,ALCOHOLIC BEVERAGE CONTROL LAW,FELONY SEX CRIMES,CHILD ABANDONMENT/NON SUPPORT,DISORDERLY CONDUCT,OTHER STATE LAWS,FRAUDULENT ACCOSTING,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",JOSTLING,KIDNAPPING,UNLAWFUL POSS. WEAP. ON SCHOOL,ESCAPE 3,NEW YORK CITY HEALTH CODE,ENDAN WELFARE INCOMP,NYS LAWS-UNCLASSIFIED VIOLATION,HOMICIDE-NEGLIGENT-VEHICLE,OFFENSES RELATED TO CHILDREN
03/01/2020,0,2,225,7,32,213,10,69,7,7,28,26,3,167,110,21,11,34,16,4,3,150,11,1,5,57,0,0,12,0,0,8,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
03/02/2020,0,1,243,12,29,223,12,56,9,9,39,11,4,123,143,36,1,27,19,6,7,134,15,0,4,53,2,3,10,1,0,2,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,1,1,278,11,44,205,17,45,6,9,30,21,3,132,113,43,5,41,21,8,1,145,19,3,3,39,1,8,15,1,5,3,6,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
03/04/2020,5,0,232,10,35,229,26,45,5,9,44,15,3,141,113,71,5,40,20,7,1,147,10,1,1,35,6,3,27,2,0,2,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,3,1,240,14,33,194,17,54,9,6,31,15,1,132,134,52,0,61,27,2,4,117,16,1,3,43,8,3,13,2,0,6,14,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03/06/2020,8,0,214,8,30,188,16,46,9,6,44,14,2,125,117,60,2,39,15,5,1,135,15,1,4,62,3,3,9,5,0,6,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2020,7,1,215,3,37,186,11,74,7,9,33,19,4,143,93,43,4,40,17,3,3,123,15,0,1,33,3,5,27,0,1,4,13,7,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
03/08/2020,21,1,196,4,39,191,11,79,4,4,25,9,4,161,96,14,2,40,29,4,4,124,18,0,4,36,1,3,20,0,0,2,12,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,57,1,261,4,40,215,5,47,20,7,33,19,0,108,107,27,3,35,19,3,4,126,15,0,6,41,3,5,9,2,1,29,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
03/10/2020,69,0,272,14,41,195,18,71,9,5,35,25,5,129,101,49,0,31,19,7,1,163,19,2,2,54,5,7,26,1,1,2,2,3,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/11/2020,155,0,277,13,30,210,14,50,4,3,30,12,4,148,106,65,8,42,10,4,2,123,16,2,4,66,6,8,19,2,1,7,5,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
03/12/2020,355,1,221,7,44,196,18,54,6,11,31,19,1,126,118,42,2,44,16,4,1,128,11,3,6,37,2,4,19,0,2,4,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
03/13/2020,619,2,255,10,19,247,26,71,3,4,39,20,1,150,125,48,4,49,21,3,3,131,16,1,1,52,1,3,25,1,1,2,13,3,0,6,0,0,0,0,0,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03/14/2020,642,1,229,6,32,194,14,62,5,5,37,9,1,160,69,20,2,44,27,3,2,161,19,0,3,43,1,2,16,1,0,3,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
