Date,Total Covid Cases,MURDER & NON-NEGL. MANSLAUGHTER,DANGEROUS WEAPONS,PETIT LARCENY,ROBBERY,HARRASSMENT 2,OFFENSES AGAINST PUBLIC ADMINI,ASSAULT 3 & RELATED OFFENSES,FELONY ASSAULT,SEX CRIMES,GRAND LARCENY,CRIMINAL MISCHIEF & RELATED OF,OFFENSES INVOLVING FRAUD,BURGLARY,OFFENSES AGAINST THE PERSON,GRAND LARCENY OF MOTOR VEHICLE,INTOXICATED & IMPAIRED DRIVING,MISCELLANEOUS PENAL LAW,OTHER OFFENSES RELATED TO THEF,RAPE,THEFT-FRAUD,OFF. AGNST PUB ORD SENSBLTY &,DANGEROUS DRUGS,VEHICLE AND TRAFFIC LAWS,FORGERY,UNAUTHORIZED USE OF A VEHICLE,CRIMINAL TRESPASS,PETIT LARCENY OF MOTOR VEHICLE,POSSESSION OF STOLEN PROPERTY,FRAUDS,OTHER STATE LAWS (NON PENAL LA,ARSON,BURGLAR'S TOOLS,KIDNAPPING & RELATED OFFENSES,NYS LAWS-UNCLASSIFIED FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",THEFT OF SERVICES,ADMINISTRATIVE CODE,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,GAMBLING,FRAUDULENT ACCOSTING,NYS LAWS-UNCLASSIFIED VIOLATION,OFFENSES AGAINST PUBLIC SAFETY,CHILD ABANDONMENT/NON SUPPORT,ENDAN WELFARE INCOMP,FELONY SEX CRIMES,PROSTITUTION & RELATED OFFENSES,ALCOHOLIC BEVERAGE CONTROL LAW,DISORDERLY CONDUCT,ANTICIPATORY OFFENSES,JOSTLING,HOMICIDE-NEGLIGENT-VEHICLE,"LOITERING/GAMBLING (CARDS, DIC",ESCAPE 3,KIDNAPPING,OFFENSES RELATED TO CHILDREN,OTHER STATE LAWS,DISRUPTION OF A RELIGIOUS SERV,OTHER STATE LAWS (NON PENAL LAW),INTOXICATED/IMPAIRED DRIVING,OFFENSES AGAINST MARRIAGE UNCL,NEW YORK CITY HEALTH CODE
01/01/2021,1336,1,27,143,40,207,22,196,107,56,83,307,6,46,3,23,26,62,1,15,19,42,18,28,3,4,11,0,2,9,2,5,0,1,5,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2021,4190,1,14,187,29,172,13,91,59,11,82,93,9,31,3,24,10,33,1,3,6,34,27,13,12,3,6,0,3,3,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2021,3454,2,12,190,35,164,7,85,49,3,57,103,3,31,3,15,6,35,3,3,2,36,8,17,5,3,9,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2021,6593,0,8,232,29,149,12,99,34,12,96,107,7,56,1,30,1,35,1,3,21,37,12,13,21,1,7,0,4,5,0,7,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2021,6151,0,14,233,32,155,15,100,46,16,84,128,13,34,1,24,4,39,1,1,7,40,48,14,18,6,3,0,5,5,1,3,2,0,3,1,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2021,5676,0,19,215,31,167,13,90,45,7,84,116,10,31,1,19,4,30,2,0,5,49,55,6,22,0,7,0,7,4,2,2,1,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2021,5434,0,30,235,31,172,18,92,49,12,75,108,10,34,0,23,8,51,0,1,12,45,43,23,10,2,5,1,0,2,1,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2021,5295,1,26,228,25,165,10,93,40,13,79,108,19,38,3,20,8,58,3,4,6,49,52,21,19,1,3,1,2,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2021,3689,0,14,195,28,164,14,136,61,15,88,118,11,37,1,20,7,22,1,3,2,34,33,16,16,3,4,0,2,3,1,1,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2021,3198,4,17,175,40,159,11,93,55,11,73,109,17,42,0,12,5,29,0,1,3,40,15,15,9,3,3,0,2,2,1,3,1,0,2,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/2021,5910,3,9,210,29,154,11,73,57,9,85,139,6,35,2,9,4,35,2,1,13,50,12,17,16,3,10,0,1,11,3,4,1,1,2,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/2021,5231,1,22,226,32,171,15,108,55,6,101,110,7,42,1,31,8,32,2,0,14,35,36,17,16,1,4,1,4,3,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/13/2021,5171,0,16,228,28,175,16,91,36,8,80,135,14,33,2,25,1,37,0,5,8,37,50,14,18,2,7,0,11,11,3,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/14/2021,5258,1,15,220,31,176,20,105,43,7,82,137,15,35,2,20,5,35,1,3,6,40,51,19,15,5,4,0,3,14,1,0,1,0,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01/15/2021,4838,1,26,292,27,198,14,93,52,20,106,150,15,46,2,22,6,35,2,5,10,31,39,18,19,4,9,0,7,12,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/16/2021,3478,2,17,216,30,168,18,91,50,12,78,132,9,36,3,18,12,47,2,3,5,51,35,20,29,0,6,0,1,2,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
01/17/2021,2918,3,11,192,32,159,15,133,48,13,61,127,14,20,6,18,7,38,3,0,3,60,12,12,14,3,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2021,4641,2,11,198,35,163,15,103,54,7,79,93,3,31,2,29,6,32,2,2,6,47,8,14,12,1,4,0,0,7,1,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01/19/2021,5141,0,17,257,26,203,15,96,43,15,91,96,13,36,1,10,2,32,3,3,13,47,39,19,13,3,2,0,6,19,0,3,0,0,2,0,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/20/2021,4906,1,23,232,23,159,19,103,40,11,93,119,8,32,4,16,4,22,0,3,18,50,55,19,21,4,10,0,5,14,2,2,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/21/2021,4937,0,25,257,34,199,22,81,43,7,84,112,18,38,2,24,5,43,2,1,13,44,47,24,13,4,4,1,5,10,4,3,0,1,2,0,1,2,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/22/2021,4711,1,25,237,32,165,13,116,51,7,86,111,7,38,1,19,3,40,4,1,8,49,52,17,23,3,4,1,3,7,3,2,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
