Date,Number of crimes
01/01/2019,2064
01/02/2019,1248
01/03/2019,1264
01/04/2019,1354
01/05/2019,1160
01/06/2019,1041
01/07/2019,1150
01/08/2019,1187
01/09/2019,1197
01/10/2019,1240
01/11/2019,1243
01/12/2019,1131
01/13/2019,992
01/14/2019,1062
01/15/2019,1202
01/16/2019,1193
01/17/2019,1117
01/18/2019,1236
01/19/2019,1134
01/20/2019,1011
01/21/2019,840
01/22/2019,1095
01/23/2019,1194
01/24/2019,1123
01/25/2019,1271
01/26/2019,1204
01/27/2019,1047
01/28/2019,1061
01/29/2019,1079
01/30/2019,1024
01/31/2019,875
02/01/2019,1427
02/02/2019,1176
02/03/2019,1014
02/04/2019,1192
02/05/2019,1190
02/06/2019,1134
02/07/2019,1205
02/08/2019,1261
02/09/2019,1181
02/10/2019,1090
02/11/2019,1125
02/12/2019,997
02/13/2019,1140
02/14/2019,1216
02/15/2019,1312
02/16/2019,1191
02/17/2019,1086
02/18/2019,986
02/19/2019,1074
02/20/2019,981
02/21/2019,1145
02/22/2019,1167
02/23/2019,1162
02/24/2019,1092
02/25/2019,1015
02/26/2019,1049
02/27/2019,1067
02/28/2019,1179
03/01/2019,1440
03/02/2019,1101
03/03/2019,1074
03/04/2019,932
03/05/2019,1107
03/06/2019,1074
03/07/2019,1079
03/08/2019,1209
03/09/2019,1164
03/10/2019,1094
03/11/2019,1191
03/12/2019,1283
03/13/2019,1176
03/14/2019,1180
03/15/2019,1402
03/16/2019,1162
03/17/2019,1093
03/18/2019,1154
03/19/2019,1154
03/20/2019,1242
03/21/2019,1095
03/22/2019,1220
03/23/2019,1161
03/24/2019,1103
03/25/2019,1160
03/26/2019,1245
03/27/2019,1135
03/28/2019,1280
03/29/2019,1334
03/30/2019,1253
03/31/2019,1099
04/01/2019,1333
04/02/2019,1195
04/03/2019,1306
04/04/2019,1233
04/05/2019,1224
04/06/2019,1205
04/07/2019,1178
04/08/2019,1162
04/09/2019,1207
04/10/2019,1319
04/11/2019,1263
04/12/2019,1234
04/13/2019,1226
04/14/2019,1182
04/15/2019,1195
04/16/2019,1249
04/17/2019,1249
04/18/2019,1238
04/19/2019,1334
04/20/2019,1198
04/21/2019,1056
04/22/2019,1108
04/23/2019,1236
04/24/2019,1298
04/25/2019,1167
04/26/2019,1071
04/27/2019,1169
04/28/2019,1141
04/29/2019,1186
04/30/2019,1218
05/01/2019,1524
05/02/2019,1337
05/03/2019,1285
05/04/2019,1199
05/05/2019,1072
05/06/2019,1258
05/07/2019,1323
05/08/2019,1375
05/09/2019,1245
05/10/2019,1453
05/11/2019,1290
05/12/2019,1016
05/13/2019,1012
05/14/2019,1230
05/15/2019,1315
05/16/2019,1323
05/17/2019,1438
05/18/2019,1320
05/19/2019,1190
05/20/2019,1366
05/21/2019,1364
05/22/2019,1366
05/23/2019,1355
